"","Genus","Species","Group","Acclim.Time","CoolRate","HeatRate","Latitude","Longitude","Habitat","MaxCtmax","MinCtmin","CtmaxARR","CtminARR","Seasonality","Ref"
"213","Canonopsis","sericeus","insect",7,0.25,0.25,-53.08181,73.504158,"t",38.8,-5.9,-0.03,-0.12,2.314,"[77]"
"214","Canonopsis","sericeus","insect",7,0.25,0.25,-53.08181,73.504158,"t",39.9,-5.5,-0.35,-0.03,2.314,"[77]"
"215","Bothrometopus","brevis","insect",7,0.25,0.25,-53.08181,73.504158,"t",36.5,-5.1,-0.24,0.01,2.314,"[77]"
"216","Bothrometopus","brevis","insect",7,0.25,0.25,-53.08181,73.504158,"t",35.8,-5.4,0.17,0.05,2.314,"[77]"
"217","Bothrometopus","gracilipes","insect",7,0.25,0.25,-53.08181,73.504158,"t",37.5,-6,-0.45,0.17,2.314,"[77]"
"218","Ectemnorhinus","viridis","insect",7,0.25,0.25,-53.08181,73.504158,"t",35.1,-4.6,-0.05,0.03,2.314,"[77]"
"219","Ectemnorhinus","viridis","insect",7,0.25,0.25,-53.08181,73.504158,"t",36.5,-6.1,0.12,0.23,2.314,"[77]"
"220","Halmaeusa","atriceps","insect",7,0.5,0.5,-46.9,37.75,"t",32.4,-4.1,0.12,0.15,1.376,"[78]"
"221","Anopheles","funestus","insect",6,0.25,0.25,-25.256988,32.537274,"t",40.9,7.7,0.14,0.18,2.784,"[79]"
"222","Anopheles","arabiensis","insect",6,0.25,0.25,-15.627463,30.419199,"t",40.3,7.7,0.2,0.19,3.108,"[79]"
"223","Culex","pipiens","insect",4.5,NA,0.5,38.833882,-104.821363,"t",43.4,NA,0.11,NA,8.057,"[80]"
"224","Drosophila","putrida","insect",5,NA,0.5,35.106077,-82.625856,"t",41.3,NA,0.05,NA,7.085,"[81]"
"225","Drosophila","falleni","insect",5,NA,0.5,35.106077,-82.625856,"t",40.4,NA,0.04,NA,7.085,"[81]"
"226","Drosophila","tripunctata","insect",5,NA,0.5,35.106077,-82.625856,"t",40.1,NA,0.03,NA,7.085,"[81]"
"227","Glossina","pallidipes","insect",10,0.25,0.25,0.692778,34.181111,"t",44.4,4.5,0.03,0.27,0.706,"[82]"
"228","Castanophlebia","spp","insect",2,NA,0.34,-33.461667,19.616389,"fw",32.9,NA,0.19,NA,4.244,"[83]"
"229","Lestagella","penicillata","insect",2,NA,0.34,-33.461667,19.616389,"fw",31.7,NA,0.16,NA,4.244,"[83]"
"230","Lestagella","penicillata","insect",2,NA,0.34,-33.944167,19.024722,"fw",30.8,NA,0.34,NA,3.134,"[83]"
"231","Sigara","lateralis","insect",3,1,1,37.042729,-6.434447,"t",46.6,-7.2,0.05,0.02,5.171,"[84]"
"232","Nezara","viridula","insect",7,0.25,0.25,-29.692778,152.932222,"t",46.4,0.2,0.05,0.16,3.944,"[85]"
"233","Nezara","viridula","insect",7,0.25,0.25,-31.248333,150.467222,"t",46.1,0.2,0.07,0.16,5.364,"[85]"
"234","Linepithema","humile","insect",7,0.05,0.05,-33.916667,18.85,"t",40,0,0.08,0.03,3.416,"[86]"
"235","Hodotermes","mossambicus","insect",15,1,1,-28,25.5,"t",48.5,5.2,0.16,0.14,5.349,"[87]"
"236","Embryonopsis","halticella","insect",7,0.5,0.5,-46.9,37.75,"t",42.8,-0.5,0.18,-0.02,1.376,"[88]"
"237","Nuerocordulia","alabamensis","insect",2,NA,2,33.289983,-81.727939,"fw",39,NA,0.11,NA,6.946,"[89]"
