"","Genus","Species","Group","Acclim.Time","CoolRate","HeatRate","Latitude","Longitude","Habitat","MaxCtmax","MinCtmin","CtmaxARR","CtminARR","Seasonality","Ref"
"56","Crinia","victoriana","amph",10,NA,1,-36.758711,144.283746,"t",35,NA,0.13,NA,4.844,"[4]"
"57","Pseudophryne","corroboree","amph",10,NA,1,-36.391785,148.427442,"t",35.2,NA,0.16,NA,4.722,"[4]"
"58","Pseudophryne","bibronii","amph",10,NA,1,-33.456091,151.348206,"t",36.2,NA,0.29,NA,3.79,"[4]"
"59","Pseudophryne","bibronii","amph",10,NA,1,-36.691685,145.886735,"t",35,NA,0.17,NA,5.037,"[4]"
"60","Philoria","frosti","amph",10,NA,1,-37.833306,146.266671,"t",28.8,NA,0.08,NA,4.18,"[4]"
"61","Limnodynastes","peronii","amph",10,NA,1,-17.093286,145.923522,"t",34.1,NA,0.18,NA,2.477,"[4]"
"62","Limnodynastes","dorsalis","amph",10,NA,1,-31.090742,150.930838,"t",36.5,NA,0.22,NA,5.187,"[4]"
"63","Limnodynastes","dorsalis","amph",10,NA,1,-38.916664,146.333333,"t",35,NA,0.09,NA,2.964,"[4]"
"64","Limnodynastes","tasmaniensis","amph",10,NA,1,-30.514342,151.666964,"t",33.4,NA,0.18,NA,4.742,"[4]"
"65","Chiropterotrition","multidentatus","amph",12,NA,NA,20.194491,-98.722227,"t",34,NA,0.16,NA,1.571,"[6]"
"66","Rana","vergatipes","amph",6,NA,0.54,39.86,-74.69,"t",38,NA,0.11,NA,8.405,"[7]"
"67","Rana","pipiens","amph",14,NA,1,10.015501,-83.788401,"t",35.7,NA,0.19,NA,0.585,"[2]"
"68","Rana","palmipes","amph",14,NA,1,9.913056,-83.682778,"t",36.9,NA,0.17,NA,0.642,"[2]"
"69","Rana","cascadae","amph",14,NA,1,39.992683,-120.803947,"t",33.6,NA,0.12,NA,6.414,"[2]"
"70","Rana","pretiosa","amph",14,NA,1,51.091389,-121.586667,"t",34.8,NA,0.12,NA,8.02,"[2]"
"71","Rana","sylvatica","amph",14,NA,1,51.091389,-121.586667,"t",33.6,NA,0.13,NA,8.02,"[2]"
"72","Rana","clamitans","amph",14,NA,1,40.789142,-73.13496,"t",35,NA,0.31,NA,8.294,"[2]"
"73","Rana","catesbeiana","amph",14,NA,1,40.789142,-73.13496,"t",33.6,NA,0.11,NA,8.294,"[2]"
"74","Rana","palustris","amph",14,NA,1,40.789142,-73.13496,"t",31.3,NA,0.09,NA,8.294,"[2]"
"75","Buergeria","japonica","amph",7,NA,0.31,24.552778,121.500278,"fw",44.7,NA,0.01,NA,3.919,"[8]"
"76","Buergeria","japonica","amph",7,NA,0.31,23.455556,120.605,"fw",43.9,NA,0.15,NA,3.499,"[8]"
"77","Scaphiopus","hammondii","amph",14,NA,1,33.646966,-117.689218,"t",40.3,NA,0.19,NA,3.597,"[2]"
"78","Scaphiopus","holbrooki","amph",14,NA,1,40.789142,-73.13496,"t",34,NA,0.33,NA,8.294,"[2]"
"79","Ambystoma","jeffersoni","amph",10,NA,0.6,39.424142,-84.185712,"t",36.1,NA,0.08,NA,9.088,"[9]"
"80","Ambystoma","opacum","amph",30,NA,0.55,35.994033,-78.898619,"t",38.5,NA,0.1,NA,7.634,"[10]"
